epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.857,2.01163,3.05667,1.71813,0.01783,0.32692,0.17914,0.08425,1.90031,3.55296,1.57869,0.000408333,0.000408333,0.000408333
2,549.512,1.92925,2.02521,1.6973,0.67461,0.21328,0.35556,0.13935,2.02524,2.8745,1.78121,0.000804581,0.000804581,0.000804581
3,776.905,1.91076,1.8586,1.65155,0.48427,0.5139,0.45222,0.17124,1.99835,2.10075,1.76373,0.0011802,0.0011802,0.0011802
4,1005.53,1.87714,1.77278,1.6175,0.65224,0.44318,0.50395,0.20065,1.94844,2.12627,1.7379,0.00115719,0.00115719,0.00115719
5,1227.87,1.84631,1.69312,1.61176,0.61443,0.57235,0.56464,0.21997,1.97697,1.8195,1.71573,0.00112625,0.00112625,0.00112625
6,1454.27,1.81802,1.63857,1.605,0.53636,0.58379,0.53983,0.22124,1.90346,1.79732,1.6446,0.00109531,0.00109531,0.00109531
7,1679.85,1.82441,1.59337,1.57776,0.5785,0.5647,0.57373,0.2271,1.91574,1.69775,1.66393,0.00106437,0.00106437,0.00106437
8,1905.39,1.80771,1.54626,1.57268,0.60377,0.599,0.58603,0.2524,1.86526,1.59736,1.65069,0.00103344,0.00103344,0.00103344
9,2137.83,1.76908,1.50555,1.53468,0.64001,0.61822,0.6173,0.25384,1.86634,1.5296,1.61898,0.0010025,0.0010025,0.0010025
10,2366.47,1.76995,1.48746,1.52563,0.61844,0.62793,0.64003,0.26931,1.83159,1.49786,1.5921,0.000971562,0.000971562,0.000971562
11,2584.92,1.78461,1.45467,1.53022,0.63567,0.61246,0.61179,0.25647,1.87034,1.45968,1.59423,0.000940625,0.000940625,0.000940625
12,2813.35,1.76124,1.44437,1.53072,0.66336,0.62593,0.64344,0.2861,1.824,1.42585,1.58023,0.000909688,0.000909688,0.000909688
13,3039.6,1.73324,1.40039,1.52912,0.68038,0.66688,0.66931,0.29525,1.85023,1.36303,1.61668,0.00087875,0.00087875,0.00087875
14,3266.13,1.71926,1.3582,1.51407,0.67618,0.66,0.67099,0.29261,1.81676,1.36526,1.59019,0.000847813,0.000847813,0.000847813
15,3492.53,1.73916,1.35443,1.49917,0.68042,0.65425,0.67356,0.2898,1.83332,1.33053,1.59962,0.000816875,0.000816875,0.000816875
16,3719.76,1.71914,1.33306,1.5176,0.68174,0.67223,0.67648,0.29365,1.80978,1.30262,1.57789,0.000785938,0.000785938,0.000785938
17,3946.53,1.7004,1.28442,1.49162,0.69568,0.65724,0.70049,0.30083,1.8287,1.2811,1.58111,0.000755,0.000755,0.000755
18,4172.63,1.69344,1.27819,1.49546,0.67743,0.68671,0.69975,0.30759,1.82197,1.3071,1.57735,0.000724062,0.000724062,0.000724062
19,4399.74,1.68401,1.24884,1.47751,0.64943,0.63891,0.64184,0.26921,1.87336,1.33248,1.62722,0.000693125,0.000693125,0.000693125
